benchmark,code_comment_tokens_mean,elapsed_sec,mode,model_alias,model_id,n,out_dir,pass_rate,post_think_tokens_mean,problem_count,repeat,returncode,think_tokens_mean,total_tokens_mean
"lcb_v6_2025_50","0.0","5051.664211511612","free","deepseek_llama8","deepseek-ai/DeepSeek-R1-Distill-Llama-8B","50","experiments/vllm_matrix_20260426/runs/deepseek_llama8/lcb_v6_2025_50/free/repeat_0","0.0","168.42","50","0","0","13311.3","13479.64"
"lcb_v6_2025_50","0.0","6590.5541388988495","fsm_plan","deepseek_llama8","deepseek-ai/DeepSeek-R1-Distill-Llama-8B","50","experiments/vllm_matrix_20260426/runs/deepseek_llama8/lcb_v6_2025_50/fsm_plan/repeat_0","0.0","14334.0","50","0","0","2050.0","16384.0"
"lcb_v6_2025_50","0.0","5074.813504934311","prompt_terse","deepseek_llama8","deepseek-ai/DeepSeek-R1-Distill-Llama-8B","50","experiments/vllm_matrix_20260426/runs/deepseek_llama8/lcb_v6_2025_50/prompt_terse/repeat_0","0.0","193.62","50","0","0","13326.22","13518.46"
"humaneval_full","0.0","9437.178293704987","fsm_plan","deepseek_llama8","deepseek-ai/DeepSeek-R1-Distill-Llama-8B","164","experiments/vllm_matrix_20260426/runs/deepseek_llama8/humaneval_full/fsm_plan/repeat_0","0.0","7166.0","164","0","0","1026.0","8192.0"
"humaneval_full","0.0","4620.137053012848","free","deepseek_llama8","deepseek-ai/DeepSeek-R1-Distill-Llama-8B","164","experiments/vllm_matrix_20260426/runs/deepseek_llama8/humaneval_full/free/repeat_0","0.0","458.3231707317073","164","0","0","3061.993902439024","3520.1341463414633"
"humaneval_full","0.0","10150.604591608047","fsm_base","deepseek_llama8","deepseek-ai/DeepSeek-R1-Distill-Llama-8B","164","experiments/vllm_matrix_20260426/runs/deepseek_llama8/humaneval_full/fsm_base/repeat_0","0.0","7166.0","164","0","0","1026.0","8192.0"
"humaneval_full","0.0","4130.141479969025","prompt_terse","deepseek_llama8","deepseek-ai/DeepSeek-R1-Distill-Llama-8B","164","experiments/vllm_matrix_20260426/runs/deepseek_llama8/humaneval_full/prompt_terse/repeat_0","0.0","410.3048780487805","164","0","0","2723.810975609756","3133.987804878049"
"mbpp_100","0.0","6543.795109272003","fsm_base","deepseek_llama8","deepseek-ai/DeepSeek-R1-Distill-Llama-8B","100","experiments/vllm_matrix_20260426/runs/deepseek_llama8/mbpp_100/fsm_base/repeat_0","0.0","7166.0","100","0","0","1026.0","8192.0"
"mbpp_100","0.0","1390.241061449051","prompt_terse","deepseek_llama8","deepseek-ai/DeepSeek-R1-Distill-Llama-8B","100","experiments/vllm_matrix_20260426/runs/deepseek_llama8/mbpp_100/prompt_terse/repeat_0","0.0","349.48","100","0","0","1425.36","1774.84"
"mbpp_100","0.0","5716.322172880173","fsm_plan","deepseek_llama8","deepseek-ai/DeepSeek-R1-Distill-Llama-8B","100","experiments/vllm_matrix_20260426/runs/deepseek_llama8/mbpp_100/fsm_plan/repeat_0","0.0","7166.0","100","0","0","1026.0","8192.0"
"mbpp_100","0.0","1585.7530393600464","free","deepseek_llama8","deepseek-ai/DeepSeek-R1-Distill-Llama-8B","100","experiments/vllm_matrix_20260426/runs/deepseek_llama8/mbpp_100/free/repeat_0","0.0","330.25","100","0","0","1800.99","2131.0"
"mbpp_100","0.0","1030.1658663749695","prompt_terse","qwen8","Qwen/Qwen3-8B","100","experiments/vllm_matrix_20260426/runs/qwen8/mbpp_100/prompt_terse/repeat_0","0.0","48.97","100","0","0","1221.07","1270.04"
"mbpp_100","6.65","2242.532304286957","free","qwen8","Qwen/Qwen3-8B","100","experiments/vllm_matrix_20260426/runs/qwen8/mbpp_100/free/repeat_0","0.0","394.35","100","0","0","2483.19","2877.54"
"mbpp_100","4.29","2608.7824811935425","fsm_base","qwen8","Qwen/Qwen3-8B","100","experiments/vllm_matrix_20260426/runs/qwen8/mbpp_100/fsm_base/repeat_0","0.0","110.4","100","0","0","3119.46","3229.86"
"mbpp_100","4.93","2551.2977271080017","fsm_plan","qwen8","Qwen/Qwen3-8B","100","experiments/vllm_matrix_20260426/runs/qwen8/mbpp_100/fsm_plan/repeat_0","0.0","100.57","100","0","0","3203.49","3304.06"
"humaneval_full","17.103658536585368","4268.950197696686","free","qwen8","Qwen/Qwen3-8B","164","experiments/vllm_matrix_20260426/runs/qwen8/humaneval_full/free/repeat_0","0.8475609756097561","445.3963414634146","164","0","0","2746.359756097561","3191.756097560976"
"humaneval_full","5.871951219512195","3918.1553983688354","fsm_base","qwen8","Qwen/Qwen3-8B","164","experiments/vllm_matrix_20260426/runs/qwen8/humaneval_full/fsm_base/repeat_0","0.774390243902439","386.6646341463415","164","0","0","2521.621951219512","2908.2865853658536"
"humaneval_full","0.5548780487804879","3005.48135471344","prompt_terse","qwen8","Qwen/Qwen3-8B","164","experiments/vllm_matrix_20260426/runs/qwen8/humaneval_full/prompt_terse/repeat_0","0.8536585365853658","328.4878048780488","164","0","0","1923.0731707317073","2251.560975609756"
"humaneval_full","6.0182926829268295","4070.8084061145782","fsm_plan","qwen8","Qwen/Qwen3-8B","164","experiments/vllm_matrix_20260426/runs/qwen8/humaneval_full/fsm_plan/repeat_0","0.7378048780487805","258.6280487804878","164","0","0","2793.6158536585367","3052.243902439024"
"lcb_v6_2025_50","14.1","4069.140148639679","prompt_terse","qwen8","Qwen/Qwen3-8B","50","experiments/vllm_matrix_20260426/runs/qwen8/lcb_v6_2025_50/prompt_terse/repeat_0","0.68","364.34","50","0","0","9875.22","10239.56"
"lcb_v6_2025_50","1732.16","4258.282406568527","fsm_base","qwen8","Qwen/Qwen3-8B","50","experiments/vllm_matrix_20260426/runs/qwen8/lcb_v6_2025_50/fsm_base/repeat_0","0.34","2529.18","50","0","0","8592.3","11121.48"
"lcb_v6_2025_50","1482.3","4404.9737548828125","fsm_plan","qwen8","Qwen/Qwen3-8B","50","experiments/vllm_matrix_20260426/runs/qwen8/lcb_v6_2025_50/fsm_plan/repeat_0","0.36","2338.74","50","0","0","8397.74","10736.48"
"lcb_v6_2025_50","40.9","4629.065076112747","free","qwen8","Qwen/Qwen3-8B","50","experiments/vllm_matrix_20260426/runs/qwen8/lcb_v6_2025_50/free/repeat_0","0.58","1423.14","50","0","0","10197.22","11620.36"
